"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"16","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099200"
"16","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","90.96"
"17","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099712"
"17","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.62"
"18","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"18","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.22"
"19","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134098944"
"19","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.81"
"20","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134101248"
"20","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.39"
"21","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100480"
"21","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.60"
"22","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100736"
"22","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","90.97"
"23","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"23","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.84"
"24","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134101248"
"24","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.57"
"25","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054592"
"25","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.06"
"26","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055360"
"26","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.34"
"27","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054336"
"27","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","90.80"
"28","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054336"
"28","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.20"
"29","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055360"
"29","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.13"
"30","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054080"
"30","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.83"
"31","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055616"
"31","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.31"
"32","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055872"
